id	file	context	type	japanese	translation
DB_Actors_10_name	Actors.json	Actors.json #10 (ナガレテスト用)	name	ナガレテスト用	Nagare (Test)
DB_Actors_11_name	Actors.json	Actors.json #11 (ナガレ)	name	ナガレ	Nagare
DB_Actors_12_name	Actors.json	Actors.json #12 (トリカゼ)	name	トリカゼ	Torikaze
DB_Actors_13_name	Actors.json	Actors.json #13 (マハリ)	name	マハリ	Mahari
DB_Actors_14_name	Actors.json	Actors.json #14 (ピピン)	name	ピピン	Pipin
DB_Actors_15_name	Actors.json	Actors.json #15 (ホノオテスト用最終)	name	ホノオテスト用最終	Hono (Test, Final)
DB_Actors_16_name	Actors.json	Actors.json #16 (レイモンド)	name	レイモンド	Raymond
DB_Actors_17_name	Actors.json	Actors.json #17 (ロイ)	name	ロイ	Roi
DB_Actors_18_name	Actors.json	Actors.json #18 (サクソン)	name	サクソン	Saxon
DB_Actors_19_name	Actors.json	Actors.json #19 (フレイム王)	name	フレイム王	King Flame
DB_Actors_1_name	Actors.json	Actors.json #1 (ウィン)	name	ウィン	Win
DB_Actors_20_name	Actors.json	Actors.json #20 (ホムラ)	name	ホムラ	Homura
DB_Actors_21_name	Actors.json	Actors.json #21 (シズク)	name	シズク	Shizuku
DB_Actors_22_name	Actors.json	Actors.json #22 (オタキ)	name	オタキ	Otaki
DB_Actors_23_name	Actors.json	Actors.json #23 (ピピン)	name	ピピン	Pipin
DB_Actors_24_name	Actors.json	Actors.json #24 (ウィンダム王)	name	ウィンダム王	King Windam
DB_Actors_25_name	Actors.json	Actors.json #25 (トリカゼ)	name	トリカゼ	Torikaze
DB_Actors_26_name	Actors.json	Actors.json #26 (マハリ)	name	マハリ	Mahari
DB_Actors_2_name	Actors.json	Actors.json #2 (ホノオ)	name	ホノオ	Hono
DB_Actors_30_name	Actors.json	Actors.json #30 (アルドン)	name	アルドン	Aldon
DB_Actors_31_name	Actors.json	Actors.json #31 (オタキ)	name	オタキ	Otaki
DB_Actors_32_name	Actors.json	Actors.json #32 (ホムラ)	name	ホムラ	Homura
DB_Actors_33_name	Actors.json	Actors.json #33 (ピピン)	name	ピピン	Pipin
DB_Actors_3_name	Actors.json	Actors.json #3 (ナガレ)	name	ナガレ	Nagare
DB_Actors_4_name	Actors.json	Actors.json #4 (ピピン)	name	ピピン	Pipin
DB_Actors_5_name	Actors.json	Actors.json #5 (ロイ)	name	ロイ	Roi
DB_Actors_6_name	Actors.json	Actors.json #6 (ロイ)	name	ロイ	Roi
DB_Actors_7_name	Actors.json	Actors.json #7 (ピピン)	name	ピピン	Pipin
DB_Actors_8_name	Actors.json	Actors.json #8 (ウィン　テスト用)	name	ウィン　テスト用	Win (Test)
DB_Actors_9_name	Actors.json	Actors.json #9 (ホノオ)	name	ホノオ	Hono
DB_Armors_10_description	Armors.json	Armors.json #10	description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。少しだけ素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Slightly lowers agility."
DB_Armors_10_name	Armors.json	Armors.json #10 (チェインメイル)	name	チェインメイル	Chain Mail
DB_Armors_11_description	Armors.json	Armors.json #11	description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。少しだけ素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Slightly lowers agility."
DB_Armors_11_name	Armors.json	Armors.json #11 (チェインメイル（良質）)	name	チェインメイル（良質）	Chain Mail (Fine)
DB_Armors_12_description	Armors.json	Armors.json #12	description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Lowers agility."
DB_Armors_12_name	Armors.json	Armors.json #12 (チェインメイル（名品）)	name	チェインメイル（名品）	Chain Mail (Masterwork)
